,seller_id,seller_city,seller_state,delay_to_carrier,wait_time,date_first_sale,date_last_sale,share_one_stars,share_of_five_stars,review_score,n_orders,quantity,quantity_per_order,sales,olist_age,total_revenue,review_cost,profit
0,3442f8959a84dea7ee197c632cb2df15,campinas,SP,0.0,13.018587962962966,2017-05-05 16:25:11,2017-08-30 12:50:19,0.3333333333333333,0.3333333333333333,3.0,3,3,1.0,218.70000000000002,4.0,341.87,140,201.87
1,d1b65fc7debc3361ea86b5f14c68d2e2,mogi guacu,SP,0.0,9.065716435185184,2017-03-29 02:10:34,2018-06-06 20:15:21,0.05,0.725,4.55,40,41,1.025,11703.069999999994,14.0,2290.307,240,2050.307
2,ce3ad9de960102d0677a81f5d0bb7b2d,rio de janeiro,RJ,0.0,4.042291666666666,2018-07-30 12:44:49,2018-07-30 12:44:49,0.0,1.0,5.0,1,1,1.0,158.0,0.0,15.8,0,15.8
3,c0f3eea2e14555b6faeea3dd58c1b1c3,sao paulo,SP,0.0,5.6671875,2018-08-03 00:44:08,2018-08-03 00:44:08,0.0,1.0,5.0,1,1,1.0,79.99,0.0,7.999,0,7.999
4,51a04a8a6bdcb23deccc82b0b80742cf,braganca paulista,SP,3.3537268518518517,35.314861111111114,2017-11-14 12:15:25,2017-11-14 12:15:25,1.0,0.0,1.0,1,1,1.0,167.99,0.0,16.799000000000003,100,-83.201
5,c240c4061717ac1806ae6ee72be3533b,rio de janeiro,RJ,0.0,6.056956018518519,2018-05-08 17:55:23,2018-05-08 17:55:23,0.0,0.0,4.0,1,1,1.0,59.9,0.0,5.99,0,5.99
6,e49c26c3edfa46d227d5121a6b6e4d37,brejao,PE,0.0,11.653800595238094,2017-02-04 19:31:42,2018-07-25 14:30:27,0.05714285714285714,0.7428571428571429,4.457142857142857,35,36,1.0285714285714285,3654.25,18.0,1805.425,370,1435.425
7,1b938a7ec6ac5061a66a3766e0e75f90,penapolis,SP,0.0,11.376438172043011,2017-09-23 17:24:32,2018-08-18 19:09:29,0.1,0.6,4.3,30,33,1.1,3987.6000000000017,11.0,1278.7600000000002,400,878.7600000000002
8,768a86e36ad6aae3d03ee3c6433d61df,sao paulo,SP,0.0,5.081859340958606,2018-06-19 12:18:24,2018-08-24 03:15:18,0.0,0.7058823529411765,4.647058823529412,17,17,1.0,587.46,2.0,218.746,40,178.746
9,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,0.0,15.853247415735842,2017-01-07 14:00:13,2018-08-21 21:05:16,0.0855614973262032,0.6524064171122995,4.288770053475936,187,192,1.0267379679144386,74004.62000000001,19.0,8920.462000000001,2300,6620.462000000001
10,8cb7c5ddf41f4d506eba76e9a4702a25,anapolis,GO,1.6093402777777779,16.01363425925926,2018-02-07 23:55:28,2018-04-20 11:35:16,0.5,0.5,3.0,2,2,1.0,138.0,2.0,173.8,100,73.80000000000001
11,a7a9b880c49781da66651ccf4ba9ac38,itirapina,SP,0.0,9.169887152777779,2018-05-17 10:43:13,2018-07-06 12:11:05,0.0,0.0,3.6666666666666665,3,4,1.3333333333333333,307.6,2.0,190.76,40,150.76
12,8bd0f31cf0a614c658f6763bd02dea69,sao paulo,SP,0.0,10.124262235449738,2017-01-19 02:11:04,2018-08-17 20:31:02,0.12121212121212122,0.6363636363636364,4.181818181818182,33,35,1.0606060606060606,4455.339999999997,19.0,1965.5339999999997,600,1365.5339999999997
13,05a48cc8859962767935ab9087417fbb,sao paulo,SP,0.0,11.276516203703704,2018-08-02 13:04:18,2018-08-02 13:04:18,0.0,1.0,5.0,1,1,1.0,42.9,0.0,4.29,0,4.29
14,7b8e8ec35bad4b0ef7e3963650b0a87b,tubarao,SC,0.0,21.90199074074074,2018-04-02 11:09:07,2018-07-26 14:25:10,0.0,0.8,4.8,5,5,1.0,2244.2799999999997,4.0,544.428,0,544.428
15,1444c08e64d55fb3c25f0f09c07ffcf2,lauro de freitas,BA,0.0,10.39494212962963,2018-04-29 12:15:17,2018-04-29 12:15:17,1.0,0.0,1.0,1,1,1.0,2749.0,0.0,274.90000000000003,100,174.90000000000003
16,166e8f1381e09651983c38b1f6f91c11,imbituba,SC,0.22944444444444442,14.728483796296295,2017-07-26 02:25:15,2017-08-21 00:44:36,0.0,1.0,5.0,2,2,1.0,78.8,1.0,87.88,0,87.88
17,e38db885400cd35c71dfd162f2c1dbcf,brasilia,DF,0.0,12.689117476851852,2017-08-21 19:35:35,2018-08-15 14:45:15,0.06666666666666667,0.7333333333333333,4.466666666666667,30,32,1.0666666666666667,2066.800000000001,12.0,1166.68,280,886.6800000000001
18,d2e753bb80b7d4faa77483ed00edc8ca,porto seguro,BA,0.0,12.741619598765432,2017-10-06 16:14:29,2018-05-18 04:14:33,0.06666666666666667,0.2,3.6,14,16,1.1428571428571428,1320.7,7.0,692.07,400,292.07000000000005
19,f9ec7093df3a7b346b7bcf7864069ca3,sao paulo,SP,0.0,6.317723765432099,2018-07-05 16:23:36,2018-08-26 20:24:10,0.0,0.8888888888888888,4.777777777777778,9,9,1.0,519.2,2.0,211.92000000000002,40,171.92000000000002
20,4e6015589b781adaa5ce7f1892d06bb1,guaruja,SP,0.0,5.894976851851851,2017-10-12 20:49:36,2018-01-24 15:07:36,0.0,0.0,3.6666666666666665,3,3,1.0,684.0,3.0,308.4,40,268.4
21,4cf490a58259286ada5ba8525ba9e84a,tabatinga,SP,0.0,24.765550595238096,2017-03-14 13:06:10,2017-11-25 03:37:25,0.375,0.375,3.125,8,8,1.0,1254.2,8.0,765.4200000000001,340,425.4200000000001
22,f7496d659ca9fdaf323c0aae84176632,sao paulo,SP,0.0,12.465313835470084,2016-10-11 05:02:59,2018-08-18 02:50:13,0.038461538461538464,0.8076923076923077,4.576923076923077,26,27,1.0384615384615385,5087.569999999999,22.0,2268.757,190,2078.757
23,2ff97219cb8622eaf3cd89b7d9c09824,salto,SP,0.0,8.793597690110325,2018-02-16 17:25:31,2018-08-25 14:24:14,0.02247191011235955,0.6741573033707865,4.52808988764045,89,96,1.0786516853932584,4476.900000000003,6.0,927.6900000000003,450,477.6900000000003
24,8bd0e3abda539b9479c4b44a691be1ec,tres de maio,RS,3.192346643518519,22.93613522376543,2017-05-29 19:15:14,2018-01-06 23:32:16,0.5,0.25,2.625,7,14,2.0,596.5500000000002,7.0,619.655,1040,-420.345
25,2a1348e9addc1af5aaa619b1a3679d6b,belo horizonte,MG,0.0,27.20355324074074,2017-01-14 01:30:17,2018-08-02 16:30:58,0.36538461538461536,0.3269230769230769,3.076923076923077,52,55,1.0576923076923077,2843.0000000000023,19.0,1804.3000000000002,2490,-685.6999999999998
26,116ccb1a1604bc88e4d234a8c23f33de,sao bernardo do campo,SP,0.0,8.779757420091325,2017-11-10 03:27:03,2018-08-21 22:04:27,0.03278688524590164,0.8032786885245902,4.639344262295082,61,73,1.1967213114754098,2004.8900000000003,9.0,920.489,500,420.48900000000003
